,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
6051,SIG [NYSE],Bermuda,Luxury Goods,3.56B,28.31,942.15K,166.00%,6.00%,3.4,10000+ Employees,1910,$5 to $10 billion (USD),58,67
6052,SIGA [NASD],USA,Biotechnology,483.04M,-1,266.87K,893.70%,5.33%,3.6,1 to 50 Employees,1996,$10 to $25 million (USD),74,0
6053,SIGI [NASD],USA,Insurance - Property & Casualty,4.38B,12.77,218.82K,-9.70%,-1.34%,3.7,1001 to 5000 Employees,1926,$1 to $2 billion (USD),70,90
6058,SILC [NASD],Israel,Communication Equipment,318.09M,-1,49.81K,-40.90%,35.87%,3.2,51 to 200 Employees,1996,$100 to $500 million (USD),40,83
6060,SILK [NASD],USA,Medical Devices,1.71B,-1,312.10K,37.10%,31.70%,5,201 to 500 Employees,2007,$50 to $100 million (USD),100,100
6063,SIMO [NASD],Hong Kong,Semiconductors,2.18B,0.49,433.74K,25.00%,12.79%,3.6,201 to 500 Employees,1996,$100 to $500 million (USD),77,79
6067,SIOX [NASD],USA,Biotechnology,156.03M,-1,708.53K,-63.50%,-8.30%,1,1 to 50 Employees,1996,$100 to $500 million (USD),0,100
6068,SIRI [NASD],USA,Broadcasting,25.58B,-1,21.74M,-84.20%,20.00%,3.8,1001 to 5000 Employees,1990,$2 to $5 billion (USD),63,88
6069,SITC [NYSE],USA,REIT - Retail,3.09B,-1,1.89M,-76.60%,26.77%,3.9,201 to 500 Employees,1965,$100 to $500 million (USD),100,100
6070,SITE [NYSE],USA,Industrial Distribution,7.31B,49.67,336.60K,51.40%,2.05%,3.9,1001 to 5000 Employees,2000,$100 to $500 million (USD),71,88
6071,SITM [NASD],USA,Semiconductors,2.21B,40.49,150.73K,6.80%,35.63%,3.8,51 to 200 Employees,2005,$50 to $100 million (USD),62,100
6072,"SIVB [NASD, S&P 500]",USA,Banks - Regional,29.08B,-1,493.48K,5.20%,8.00%,4.2,1001 to 5000 Employees,1983,$1 to $2 billion (USD),84,94
6074,SIX [NYSE],USA,Leisure,3.61B,17.51,1.39M,-336.90%,535.60%,3.6,1001 to 5000 Employees,1961,$1 to $2 billion (USD),69,85
6082,SJI [NYSE],USA,Utilities - Diversified,2.91B,-1,2.18M,93.90%,4.81%,3.6,501 to 1000 Employees,1969,$500 million to $1 billion (USD),74,57
6085,SJR [NYSE],Canada,Telecom Services,14.39B,15.39,514.19K,-6.70%,6.24%,3.8,10000+ Employees,1971,$5 to $10 billion (USD),72,76
6087,SJW [NYSE],USA,Utilities - Regulated Water,1.85B,14.19,88.67K,160.80%,22.22%,4.1,201 to 500 Employees,1985,$100 to $500 million (USD),65,60
6089,SKIL [NYSE],USA,Education & Training Services,1.60B,-1,982.08K,-127.90%,0.00%,3.3,1001 to 5000 Employees,1997,$500 million to $1 billion (USD),58,64
6091,SKLZ [NYSE],USA,Electronic Gaming & Multimedia,7.52B,144.62,22.26M,-474.80%,35.40%,3.9,51 to 200 Employees,2012,$100 to $500 million (USD),70,79
6092,SKM [NYSE],South Korea,Telecom Services,20.19B,-1,350.56K,68.70%,53.60%,3.8,1001 to 5000 Employees,1996,$100 to $500 million (USD),70,99
6094,SKT [NYSE],USA,REIT - Retail,1.76B,13.17,1.97M,-142.80%,48.13%,4.1,501 to 1000 Employees,1981,$100 to $500 million (USD),91,98
6095,SKX [NYSE],USA,Footwear & Accessories,6.98B,1.86,1.67M,-76.30%,28.36%,3.5,5001 to 10000 Employees,1992,$5 to $10 billion (USD),62,71
6096,SKY [NYSE],USA,Residential Construction,2.85B,-1,390.17K,45.70%,20.43%,3.6,5001 to 10000 Employees,1996,$100 to $500 million (USD),100,100
6098,SKYT [NASD],USA,Semiconductors,1.19B,-1,452.53K,-25.60%,212.82%,2.8,501 to 1000 Employees,2017,$100 to $500 million (USD),24,67
6100,SKYW [NASD],USA,Airlines,2.24B,-1,314.59K,770.48%,137.31%,4,10000+ Employees,1972,$2 to $5 billion (USD),80,86
6102,SLAB [NASD],USA,Semiconductors,6.24B,-1,305.32K,770.48%,10.76%,4.5,1001 to 5000 Employees,1996,$500 million to $1 billion (USD),92,99
6105,"SLB [NYSE, S&P 500]",USA,Oil & Gas Equipment & Services,43.82B,33.01,13.18M,-3.40%,43.01%,3.8,10000+ Employees,1926,$10+ billion (USD),71,83
6106,SLCA [NYSE],USA,Oil & Gas Equipment & Services,832.61M,-1,1.24M,58.80%,70.60%,4.1,501 to 1000 Employees,2001,$100 to $500 million (USD),100,100
6109,SLCT [NASD],USA,Banks - Regional,275.50M,-1,116.61K,34.00%,8.00%,4.1,1 to 50 Employees,1996,$5 to $10 million (USD),53,74
6111,SLF [NYSE],Canada,Insurance - Diversified,29.38B,-1,556.92K,-6.90%,7.89%,3.7,201 to 500 Employees,1996,$2 to $5 billion (USD),80,100
6112,SLG [NYSE],USA,REIT - Office,5.51B,12.17,1.06M,204.80%,-40.00%,4,1001 to 5000 Employees,1997,$1 to $2 billion (USD),58,92
6113,SLGG [NASD],USA,Electronic Gaming & Multimedia,131.95M,-1,2.40M,-57.80%,23.70%,2.7,1 to 50 Employees,1996,Less than $1 million (USD),40,100
6114,SLGL [NASD],Israel,Biotechnology,274.56M,23.75,48.90K,770.48%,62.50%,5,1001 to 5000 Employees,1996,$100 to $500 million (USD),100,100
6115,SLGN [NASD],USA,Packaging & Containers,4.43B,-1,333.96K,59.50%,5.00%,3.4,5001 to 10000 Employees,1987,$2 to $5 billion (USD),58,64
6117,SLM [NASD],USA,Credit Services,6.10B,-1,4.43M,72.50%,17.00%,3.5,1001 to 5000 Employees,1973,$1 to $2 billion (USD),69,84
6119,SLP [NASD],USA,Health Information Services,1.08B,-1,184.07K,5.90%,17.86%,3.2,51 to 200 Employees,1996,$10 to $25 million (USD),100,100
6121,SLQT [NYSE],USA,Insurance Brokers,3.15B,-1,1.62M,-126.60%,50.65%,3.3,1001 to 5000 Employees,1985,$100 to $500 million (USD),54,70
6123,SLRX [NASD],USA,Biotechnology,45.34M,15.52,1.64M,76.60%,30.30%,5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
6132,SM [NYSE],USA,Oil & Gas E&P,2.44B,-1,3.78M,-304.60%,306.30%,3.1,501 to 1000 Employees,1908,$2 to $5 billion (USD),61,45
6133,SMAR [NYSE],USA,Software - Application,8.67B,-1,1.25M,-12.20%,33.30%,3.8,1001 to 5000 Employees,2005,$100 to $500 million (USD),62,83
6135,SMBC [NASD],USA,Banks - Regional,405.00M,-1,16.58K,-4.70%,-19.90%,2.5,201 to 500 Employees,1996,$50 to $100 million (USD),57,57
6136,SMBK [NASD],USA,Banks - Regional,357.25M,-1,34.59K,-14.30%,10.36%,4.3,51 to 200 Employees,2012,$25 to $50 million (USD),82,90
6137,SMCI [NASD],USA,Computer Hardware,1.70B,-1,242.52K,-14.70%,34.24%,2.5,1001 to 5000 Employees,1993,$2 to $5 billion (USD),27,24
6141,SMED [NASD],USA,Waste Management,183.57M,-1,252.31K,939.30%,30.30%,4.4,51 to 200 Employees,1996,$25 to $50 million (USD),83,83
6142,SMFG [NYSE],Japan,Banks - Diversified,47.66B,18.02,1.32M,-26.90%,0.00%,3.5,10000+ Employees,1996,$10+ billion (USD),58,90
6143,SMG [NYSE],USA,Agricultural Inputs,10.82B,20.02,399.56K,770.48%,3.30%,4,5001 to 10000 Employees,1868,$5 to $10 billion (USD),81,91
6146,SMID [NASD],USA,Building Materials,105.18M,20.22,30.87K,35.70%,0.00%,3.7,201 to 500 Employees,1960,$25 to $50 million (USD),77,100
6150,SMLP [NYSE],USA,Oil & Gas Midstream,180.50M,0.42,39.15K,201.00%,240.00%,3.6,201 to 500 Employees,2009,$100 to $500 million (USD),53,87
6154,SMMF [NASD],USA,Banks - Regional,296.17M,-1,14.42K,4.00%,30.30%,3.9,201 to 500 Employees,1987,$50 to $100 million (USD),100,100
6155,SMMT [NASD],USA,Biotechnology,670.12M,-1,215.14K,-80.90%,0.00%,3.6,1 to 50 Employees,1996,$1 to $5 million (USD),65,100
6160,SMP [NYSE],USA,Auto Parts,996.35M,10.99,148.10K,16.40%,7.13%,3.9,1001 to 5000 Employees,1919,$1 to $2 billion (USD),74,94
6161,SMPL [NASD],USA,Packaged Foods,3.42B,12.43,577.97K,770.48%,10.11%,4,201 to 500 Employees,1996,$100 to $500 million (USD),100,100
6162,SMSI [NASD],USA,Software - Application,277.59M,50.79,502.74K,-66.00%,416.98%,4.1,51 to 200 Employees,1982,$25 to $50 million (USD),80,91
6163,SMTC [NASD],USA,Semiconductors,4.12B,30.78,407.82K,91.80%,17.86%,3.8,1001 to 5000 Employees,1960,$500 million to $1 billion (USD),76,90
6165,SMWB [NYSE],Israel,Internet Content & Information,1.44B,18.8,432.31K,-28.90%,0.00%,4.1,1 to 50 Employees,2008,$100 to $500 million (USD),77,89
6166,"SNA [NYSE, S&P 500]",USA,Tools & Accessories,11.58B,56.77,415.96K,-7.80%,5.00%,3.7,10000+ Employees,1920,$2 to $5 billion (USD),66,76
6167,SNAP [NYSE],USA,Internet Content & Information,94.05B,22.14,21.59M,13.60%,202.69%,4.2,1001 to 5000 Employees,2011,$100 to $500 million (USD),82,90
6168,SNBR [NASD],USA,"Furnishings, Fixtures & Appliances",2.41B,21.93,472.77K,81.60%,5.04%,3.5,1001 to 5000 Employees,1987,$1 to $2 billion (USD),55,74
6169,SNCR [NASD],USA,Software - Application,109.51M,43.86,404.42K,65.50%,69.40%,3.7,1001 to 5000 Employees,2000,$100 to $500 million (USD),74,83
6170,SNCY [NASD],USA,Airlines,2.23B,-1,488.79K,-80.40%,2437.50%,2.9,1001 to 5000 Employees,1982,$100 to $500 million (USD),36,67
6171,SND [NASD],USA,Oil & Gas Equipment & Services,120.09M,-1,316.40K,-10.50%,64.10%,2.3,201 to 500 Employees,2011,$100 to $500 million (USD),0,100
6172,SNDL [NASD],Canada,Drug Manufacturers - Specialty & Generic,1.68B,4.33,227.71M,-63.70%,100.00%,2.3,51 to 200 Employees,1996,$100 to $500 million (USD),13,14
6177,SNFCA [NASD],USA,Credit Services,132.28M,11.83,58.81K,419.50%,0.00%,3.2,1001 to 5000 Employees,1996,$100 to $500 million (USD),39,40
6182,SNN [NYSE],United Kingdom,Medical Devices,18.39B,-1,719.93K,770.48%,-4.88%,4,10000+ Employees,1856,$2 to $5 billion (USD),80,93
6183,SNOA [NASD],USA,Drug Manufacturers - Specialty & Generic,15.99M,-1,293.92K,-84.40%,0.00%,2.7,51 to 200 Employees,1996,$10 to $25 million (USD),6,0
6184,SNOW [NYSE],USA,Software - Application,76.37B,41.35,4.14M,-202.20%,12.10%,4.2,1001 to 5000 Employees,2012,$100 to $500 million (USD),85,93
6185,SNP [NYSE],China,Oil & Gas Integrated,77.25B,23.5,128.59K,43.00%,30.30%,3.6,10000+ Employees,1996,$10+ billion (USD),74,90
6188,"SNPS [NASD, S&P 500]",USA,Software - Infrastructure,40.41B,-1,879.25K,23.60%,14.16%,4.1,10000+ Employees,1986,$2 to $5 billion (USD),85,95
6193,SNSE [NASD],USA,Biotechnology,354.04M,-1,133.59K,1.70%,-10.00%,4,1 to 50 Employees,2018,$100 to $500 million (USD),0,100
6196,SNV [NYSE],USA,Banks - Regional,6.30B,-1,886.21K,35.00%,30.30%,3.6,5001 to 10000 Employees,1888,$1 to $2 billion (USD),79,65
6197,SNX [NYSE],USA,Information Technology Services,5.99B,-1,323.79K,4.90%,5.74%,3.9,10000+ Employees,1980,$10+ billion (USD),79,96
6198,SNY [NASD],France,Drug Manufacturers - General,133.07B,-1,1.25M,324.80%,16.22%,3.9,10000+ Employees,1973,$10+ billion (USD),82,90
6199,"SO [NYSE, S&P 500]",USA,Utilities - Regulated Electric,65.08B,-1,3.93M,-34.90%,7.21%,4.3,10000+ Employees,1945,$10+ billion (USD),90,92
6203,SOGO [NYSE],China,Internet Content & Information,3.26B,-1,592.21K,-224.60%,19.44%,3.8,201 to 500 Employees,1996,$100 to $500 million (USD),59,100
6206,SOI [NYSE],USA,Oil & Gas Equipment & Services,422.78M,-1,309.22K,-158.90%,616.70%,3.2,51 to 200 Employees,2014,$100 to $500 million (USD),46,100
6207,SOL [NYSE],China,Solar,563.45M,19.56,2.39M,-125.70%,109.79%,2.5,1001 to 5000 Employees,1996,$1 to $2 billion (USD),32,31
6210,SON [NYSE],USA,Packaging & Containers,6.49B,33.04,383.97K,-28.90%,5.71%,3.9,10000+ Employees,1899,$5 to $10 billion (USD),73,87
6211,SONM [NASD],USA,Communication Equipment,40.22M,17.21,2.74M,53.40%,34.30%,3.6,501 to 1000 Employees,1999,$5 to $10 million (USD),58,73
6213,SONO [NASD],USA,Consumer Electronics,4.01B,-1,2.52M,-298.90%,9.88%,4.2,1001 to 5000 Employees,2002,$500 million to $1 billion (USD),82,97
6214,SONY [NYSE],Japan,Consumer Electronics,118.17B,-1,771.08K,103.10%,16.01%,4.1,10000+ Employees,1946,$10+ billion (USD),82,92
6216,SOS [NYSE],China,Software - Infrastructure,651.62M,36.52,36.80M,106.80%,0.00%,3.6,10000+ Employees,1985,$1 to $2 billion (USD),72,89
6221,SP [NASD],USA,Specialty Business Services,728.45M,-1,88.69K,-473.50%,68.58%,3.3,10000+ Employees,1929,$100 to $500 million (USD),60,73
6225,SPB [NYSE],USA,Household & Personal Products,3.48B,-1,274.80K,150.30%,30.30%,3.4,10000+ Employees,1906,$2 to $5 billion (USD),62,75
6228,SPCB [NASD],Israel,Security & Protection Services,26.02M,-1,3.40M,36.50%,0.00%,5,51 to 200 Employees,1988,$100 to $500 million (USD),100,100
6229,SPCE [NYSE],USA,Aerospace & Defense,8.94B,-1,19.79M,-166.00%,48.20%,3.2,501 to 1000 Employees,2004,$100 to $500 million (USD),52,38
6238,SPFI [NASD],USA,Banks - Regional,419.67M,12.56,19.19K,44.20%,-20.30%,4,10000+ Employees,1837,$10+ billion (USD),79,82
6240,"SPG [NYSE, S&P 500]",USA,REIT - Retail,41.27B,35.57,2.69M,-47.30%,8.44%,3.2,5001 to 10000 Employees,1993,$5 to $10 billion (USD),53,51
6241,"SPGI [NYSE, S&P 500]",USA,Financial Data & Stock Exchanges,92.74B,26.59,1.31M,12.40%,9.45%,4.5,1 to 50 Employees,1996,$100 to $500 million (USD),49,100
6245,SPH [NYSE],USA,Utilities - Regulated Gas,931.18M,-1,368.26K,12.00%,30.30%,3.2,1001 to 5000 Employees,1996,$1 to $2 billion (USD),41,52
6250,SPI [NASD],Hong Kong,Solar,172.11M,-1,840.57K,65.80%,0.00%,3.4,10000+ Employees,1980,$1 to $2 billion (USD),69,89
6258,SPLK [NASD],USA,Software - Infrastructure,21.09B,-1,2.30M,-156.50%,87.90%,4.2,5001 to 10000 Employees,2003,$1 to $2 billion (USD),80,94
6265,SPNS [NASD],Israel,Software - Application,1.48B,-1,124.54K,25.00%,13.18%,3.7,1001 to 5000 Employees,1982,$100 to $500 million (USD),75,93
6266,SPNT [NYSE],Bermuda,Insurance - Reinsurance,1.58B,-1,504.17K,-29.00%,0.00%,3,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
6268,SPOK [NASD],USA,Telecom Services,201.24M,-1,133.96K,-312.10%,0.00%,3.4,501 to 1000 Employees,1984,$100 to $500 million (USD),66,79
6269,SPOT [NYSE],Luxembourg,Internet Content & Information,47.79B,-1,1.48M,-201.30%,62.40%,4.2,5001 to 10000 Employees,2006,$100 to $500 million (USD),86,95
6270,SPPI [NASD],USA,Biotechnology,680.42M,-1,2.60M,-12.50%,47.70%,2.9,51 to 200 Employees,1987,$100 to $500 million (USD),40,84
6272,SPR [NYSE],USA,Aerospace & Defense,5.09B,-1,2.00M,-265.70%,104.60%,3.7,10000+ Employees,2005,$5 to $10 billion (USD),67,83
6274,SPRO [NASD],USA,Biotechnology,445.67M,-1,154.71K,5.00%,30.30%,5,51 to 200 Employees,2013,$5 to $10 million (USD),100,100
6278,SPSC [NASD],USA,Software - Infrastructure,3.45B,-1,141.23K,34.20%,16.07%,4.3,1001 to 5000 Employees,1982,$100 to $500 million (USD),91,97
6281,SPT [NASD],USA,Software - Application,4.73B,-1,502.93K,48.60%,20.60%,4.8,501 to 1000 Employees,2010,$50 to $100 million (USD),95,98
6286,SPTN [NASD],USA,Food Distribution,678.19M,-1,291.44K,-30.00%,8.29%,3.3,10000+ Employees,1996,$5 to $10 billion (USD),51,69
6292,SPWH [NASD],USA,Leisure,775.79M,-1,596.59K,343.50%,-18.75%,3.3,1001 to 5000 Employees,1996,$500 million to $1 billion (USD),61,58
6293,SPWR [NASD],USA,Solar,4.47B,-1,4.09M,136.70%,124.05%,3.7,5001 to 10000 Employees,1985,$2 to $5 billion (USD),72,75
6295,SPXC [NYSE],USA,Specialty Industrial Machinery,2.61B,9.73,164.06K,31.40%,10.22%,3.9,5001 to 10000 Employees,1912,$1 to $2 billion (USD),77,81
6308,SQ [NYSE],USA,Software - Infrastructure,106.86B,-1,10.16M,-45.10%,41.45%,4.3,5001 to 10000 Employees,2009,$1 to $2 billion (USD),86,94
6313,SQM [NYSE],Chile,Chemicals,11.76B,-1,1.28M,-40.80%,40.39%,3.9,1001 to 5000 Employees,1996,$1 to $2 billion (USD),69,59
6314,SQNS [NYSE],France,Semiconductors,205.19M,-1,295.20K,-25.40%,66.70%,4.1,201 to 500 Employees,1996,$25 to $50 million (USD),89,93
6316,SQSP [NYSE],USA,Software - Infrastructure,8.39B,59.66,926.00K,2.40%,0.00%,3.9,1001 to 5000 Employees,2003,$100 to $500 million (USD),72,81
6317,SQZ [NYSE],USA,Biotechnology,375.03M,23.73,160.25K,52.00%,30.30%,3.2,51 to 200 Employees,2013,Less than $1 million (USD),50,48
6318,SR [NYSE],USA,Utilities - Regulated Gas,3.70B,-1,267.71K,-59.20%,-0.25%,3.3,1001 to 5000 Employees,1857,$1 to $2 billion (USD),59,49
6321,SRAX [NASD],USA,Advertising Agencies,126.55M,-1,714.22K,26.30%,156.00%,3.5,51 to 200 Employees,2010,$10 to $25 million (USD),65,51
6322,SRC [NYSE],USA,REIT - Diversified,5.49B,-1,741.98K,-91.70%,17.71%,3.6,51 to 200 Employees,1996,$500 million to $1 billion (USD),62,100
6323,SRCE [NASD],USA,Banks - Regional,1.15B,34.9,70.11K,12.00%,30.30%,3.9,1001 to 5000 Employees,1962,$100 to $500 million (USD),69,91
6324,SRCL [NASD],USA,Waste Management,6.42B,170.93,357.87K,70.80%,8.03%,3.5,10000+ Employees,1989,$2 to $5 billion (USD),65,77
6325,SRDX [NASD],USA,Diagnostics & Research,707.56M,42.2,47.73K,-85.20%,270.45%,3.2,201 to 500 Employees,1979,$50 to $100 million (USD),36,48
6326,"SRE [NYSE, S&P 500]",USA,Utilities - Diversified,40.96B,12.6,1.60M,9.20%,5.04%,3.6,10000+ Employees,1998,$10+ billion (USD),67,72
6328,SREV [NASD],USA,Software - Application,110.97M,-1,365.51K,2.70%,0.00%,3.4,1001 to 5000 Employees,1999,$100 to $500 million (USD),63,81
6329,SRG [NYSE],USA,REIT - Retail,786.72M,24.85,339.08K,-62.60%,0.00%,3.3,51 to 200 Employees,1996,$100 to $500 million (USD),53,100
6330,SRGA [NASD],USA,Medical Devices,155.58M,-1,1.74M,26.40%,11.40%,5,1001 to 5000 Employees,1996,$100 to $500 million (USD),100,100
6331,SRI [NYSE],USA,Auto Parts,812.99M,-1,121.54K,-113.80%,104.68%,3.6,5001 to 10000 Employees,1965,$500 million to $1 billion (USD),78,75
6334,SRLP [NYSE],USA,Oil & Gas Refining & Marketing,693.87M,-1,42.30K,1.10%,100.64%,3.4,501 to 1000 Employees,1870,$2 to $5 billion (USD),61,96
6335,SRNE [NASD],USA,Biotechnology,2.43B,-1,7.30M,41.00%,5.53%,3.7,201 to 500 Employees,2006,$25 to $50 million (USD),75,71
6338,SRPT [NASD],USA,Biotechnology,6.39B,22.22,1.19M,26.80%,44.50%,3.5,51 to 200 Employees,1996,$5 to $10 million (USD),73,98
6339,SRRA [NASD],USA,Biotechnology,222.10M,12.75,20.45K,74.60%,22.70%,4,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
6340,SRRK [NASD],USA,Biotechnology,1.00B,-1,326.96K,80.65%,-25.20%,4,51 to 200 Employees,2012,$1 to $5 million (USD),100,100
6343,SRT [NYSE],USA,Specialty Business Services,286.31M,-1,63.68K,-151.00%,1150.00%,3.2,10000+ Employees,1987,$100 to $500 million (USD),56,59
6344,SRTS [NASD],USA,Medical Devices,68.09M,-1,46.60K,-297.20%,154.50%,3.2,1 to 50 Employees,1996,$10 to $25 million (USD),38,100
6349,SSB [NASD],USA,Banks - Regional,5.70B,67.81,317.55K,102.50%,-11.84%,4,1001 to 5000 Employees,1933,$100 to $500 million (USD),84,99
6351,SSRM [NASD],Canada,Gold,3.55B,-1,1.76M,73.70%,5.10%,4.3,501 to 1000 Employees,1996,$100 to $500 million (USD),100,100
6353,SSTI [NASD],USA,Software - Application,485.38M,8.88,47.99K,-31.20%,161.54%,3.4,51 to 200 Employees,1996,$25 to $50 million (USD),54,90
6354,SSTK [NYSE],USA,Internet Content & Information,3.36B,1.48,274.48K,249.20%,11.36%,3.3,1001 to 5000 Employees,2003,$500 million to $1 billion (USD),55,63
6357,SSYS [NASD],USA,Computer Hardware,1.37B,152.39,1.34M,4.00%,137.50%,3.7,1001 to 5000 Employees,1988,$500 million to $1 billion (USD),71,98
6358,ST [NYSE],USA,Scientific & Technical Instruments,8.97B,35.2,964.95K,-43.20%,18.61%,3.5,10000+ Employees,1916,$2 to $5 billion (USD),59,81
6359,STAA [NASD],USA,Medical Instruments & Supplies,6.69B,29.12,517.88K,-58.80%,213.08%,3.4,201 to 500 Employees,1982,$50 to $100 million (USD),67,68
6360,STAF [NASD],USA,Staffing & Employment Services,23.99M,-1,1.70M,-193.20%,-90.00%,2.4,1001 to 5000 Employees,2011,$100 to $500 million (USD),34,34
6361,STAG [NYSE],USA,REIT - Industrial,6.07B,19.85,1.04M,278.20%,5.47%,3.7,51 to 200 Employees,1996,$100 to $500 million (USD),85,85
6362,STAR [NYSE],USA,REIT - Diversified,1.45B,36.96,690.06K,120.00%,100.64%,4.4,51 to 200 Employees,1993,$100 to $500 million (USD),89,100
6363,STAY [NASD],USA,Lodging,3.62B,75.91,4.65M,-65.00%,67.93%,3.8,5001 to 10000 Employees,1995,$1 to $2 billion (USD),73,80
6364,STBA [NASD],USA,Banks - Regional,1.21B,-1,126.70K,81.00%,100.64%,3.9,1001 to 5000 Employees,1983,$100 to $500 million (USD),84,98
6365,STC [NYSE],USA,Insurance - Property & Casualty,1.49B,23.59,161.14K,88.00%,100.64%,3.8,5001 to 10000 Employees,1893,$100 to $500 million (USD),77,99
6366,STCN [NASD],USA,Integrated Freight & Logistics,132.36M,176.12,214.08K,89.30%,0.00%,3.2,1001 to 5000 Employees,1986,$100 to $500 million (USD),31,56
6367,"STE [NYSE, S&P 500]",Ireland,Medical Instruments & Supplies,16.97B,21.92,754.12K,-2.80%,12.72%,3.8,10000+ Employees,1987,$2 to $5 billion (USD),78,91
6369,STEP [NASD],USA,Asset Management,3.21B,12.31,369.55K,143.40%,2.77%,4.1,201 to 500 Employees,2007,$100 to $500 million (USD),72,68
6370,STFC [NASD],USA,Insurance - Property & Casualty,731.07M,5.72,41.70K,-85.10%,252.04%,3.7,10000+ Employees,1922,$10+ billion (USD),63,71
6372,STIM [NASD],USA,Diagnostics & Research,447.37M,-1,435.57K,7.80%,31.50%,3.8,201 to 500 Employees,2003,$50 to $100 million (USD),70,100
6375,STKL [NASD],Canada,Packaged Foods,1.33B,-1,929.41K,-157.10%,127.66%,3.3,1001 to 5000 Employees,1996,$1 to $2 billion (USD),44,100
6376,STKS [NASD],USA,Restaurants,327.50M,-1,308.14K,-163.10%,68.12%,3.3,201 to 500 Employees,1996,$100 to $500 million (USD),25,17
6377,STL [NYSE],USA,Banks - Regional,4.56B,-1,3.27M,-44.90%,6.83%,3,1001 to 5000 Employees,1966,$10+ billion (USD),47,73
6379,STLD [NASD],USA,Steel,12.09B,-1,2.54M,14.50%,100.64%,4.2,5001 to 10000 Employees,1993,$5 to $10 billion (USD),89,99
6381,STM [NYSE],Switzerland,Semiconductors,32.43B,-1,1.94M,5.70%,12.76%,3.9,10000+ Employees,1987,$5 to $10 billion (USD),78,92
6383,STN [NYSE],Canada,Engineering & Construction,4.79B,18.16,56.86K,-18.50%,13.44%,3.8,10000+ Employees,1954,$1 to $2 billion (USD),72,87
6385,STNG [NYSE],Monaco,Oil & Gas Midstream,1.26B,22.47,976.33K,271.60%,393.10%,4.5,1 to 50 Employees,1996,$25 to $50 million (USD),96,100
6386,STOK [NASD],USA,Biotechnology,1.46B,32.67,193.93K,46.10%,100.64%,5,1001 to 5000 Employees,1996,$100 to $500 million (USD),100,100
6387,STON [NYSE],USA,Personal Services,308.44M,16.52,1.15M,91.10%,0.00%,3.8,1001 to 5000 Employees,2004,$100 to $500 million (USD),71,78
6388,STOR [NYSE],USA,REIT - Diversified,9.43B,122.82,1.36M,130.25%,13.25%,5,1 to 50 Employees,1996,$1 to $5 million (USD),100,100
6392,STRA [NASD],USA,Education & Training Services,1.90B,-1,197.68K,2.80%,15.63%,4,5001 to 10000 Employees,2018,$100 to $500 million (USD),84,78
6394,STRL [NASD],USA,Engineering & Construction,631.68M,29.42,244.54K,-2.00%,-10.90%,2.8,1001 to 5000 Employees,1991,$500 million to $1 billion (USD),51,72
6395,STRM [NASD],USA,Health Information Services,75.73M,12.56,187.78K,-168.10%,17.60%,3.5,51 to 200 Employees,2001,$100 to $500 million (USD),69,65
6396,STRO [NASD],USA,Biotechnology,930.46M,-1,484.11K,59.40%,100.64%,4.1,51 to 200 Employees,2003,$100 to $500 million (USD),73,100
6400,STRT [NASD],USA,Auto Parts,179.37M,19.59,23.95K,57.00%,0.98%,3.5,1001 to 5000 Employees,1995,$100 to $500 million (USD),68,61
6402,"STT [NYSE, S&P 500]",USA,Asset Management,27.39B,-1,2.30M,17.60%,13.97%,3.4,10000+ Employees,1792,$10+ billion (USD),59,76
6404,STWD [NYSE],USA,REIT - Mortgage,7.21B,12.98,1.92M,-35.40%,4.05%,3.8,201 to 500 Employees,2009,$500 million to $1 billion (USD),87,100
6407,"STX [NASD, S&P 500]",Ireland,Computer Hardware,19.66B,-1,3.40M,-46.30%,35.78%,3.8,10000+ Employees,1979,$10+ billion (USD),71,82
6409,STXS [AMEX],USA,Medical Instruments & Supplies,717.68M,11.73,417.81K,-15.40%,8.30%,3.3,51 to 200 Employees,1990,$25 to $50 million (USD),49,88
6410,"STZ [NYSE, S&P 500]",USA,Beverages - Wineries & Distilleries,42.42B,24.52,1.04M,1.40%,16.51%,3.8,5001 to 10000 Employees,1945,$5 to $10 billion (USD),72,85
6411,SU [NYSE],Canada,Oil & Gas Integrated,35.13B,18.79,6.60M,-252.40%,17.52%,3.8,10000+ Employees,1967,$10+ billion (USD),75,74
6414,SUI [NYSE],USA,REIT - Residential,19.29B,-1,480.22K,-25.10%,21.04%,3.5,1001 to 5000 Employees,1975,$1 to $2 billion (USD),74,84
6415,SUM [NYSE],USA,Building Materials,3.77B,-1,1.18M,129.60%,21.07%,3.9,1001 to 5000 Employees,2009,$1 to $2 billion (USD),77,100
6416,SUMO [NASD],USA,Software - Infrastructure,2.31B,-1,1.57M,-76.20%,7.50%,3.7,501 to 1000 Employees,2010,$100 to $500 million (USD),70,86
6417,SUMR [NASD],USA,Household & Personal Products,28.07M,-1,83.19K,73.80%,0.00%,3.2,201 to 500 Employees,1985,$100 to $500 million (USD),43,71
